parcela_id,agc_mg_c_ha,disturbio,region
MN_01_UC_JV,26.9,4,Nayarit
MN_02_PE_JV,3.32,4,Nayarit
MN_03_MT_JV,30.75,4,Nayarit
MN_04_E4_JV,71.3,1,Nayarit
MN_05_AR_JV,25.58,1,Nayarit
MN_06_BA_JV,37.95,2,Nayarit
MN_07_VD_JV,23.06,1,Nayarit
MN_08_SM_JV,10.4,3,Nayarit
MN_09_BD_CT,52.51,4,Nayarit
MN_10_BE_CT,45.5,4,Nayarit
MN_11_BH_CT,41.05,4,Nayarit
MN_12_BK_CT,15.66,4,Nayarit
MN_13_BI_CT,25.04,4,Nayarit
MN_14_BL_CT,10.5,4,Nayarit
MN_15_08_MM,16.04,3,Nayarit
MN_16_09_MM,14.38,2,Nayarit
MN_17_10_MM,21.77,4,Nayarit
MN_18_11_MM,44.38,4,Nayarit
MN_19_12_MM,14.03,3,Nayarit
MN_20_13_MM,34.96,3,Nayarit
MN_21_14_MM,34.47,2,Nayarit
MN_22_15_MM,37.9,2,Nayarit
MN_23_16_MM,11.54,2,Nayarit
MN_24_17_MM,6.53,1,Nayarit
MN_25_18_MM,1.72,3,Nayarit
MN_26_19_MM,1.5,3,Nayarit
