parcela_id,epoca,es_principal,archivo_salida,h_max,h_mean,h_median,h_std,h_cv,h_p25,h_p50,h_p75,h_p95,h_p99,h_skew,h_kurt,densidad_total,densidad_veg,fr_suelo,fr_bajo,fr_medio,fr_alto,rumple,cobertura,lad_max,lad_mean,int_mean,int_std,altura_vuelo_m,n_puntos,n_veg
MN_06_BA_JV,lluvias_2023,True,MN_06_BA_JV.las,14.98,9.851,10.4,3.235,0.3284,8.27,10.4,12.38,13.82,14.32,-0.9942,0.5537,293.01,230.94,0.2119,0.0284,0.1524,0.6074,2.234,0.9552,0.2252,0.0667,21.9,15.6,81,117206,92374
MN_04_E4_JV,lluvias_2023,True,MN_04_E4_JV.las,16.29,10.112,11.43,3.336,0.3299,7.39,11.43,12.72,13.95,14.9,-0.7126,-0.6773,2742.01,2709.51,0.0118,0.0052,0.2711,0.7119,1.2235,1.0,0.2358,0.0588,19.45,21.91,31,1096803,1083806
MN_15_08_MM,lluvias_2023,True,MN_15_08_MM.las,12.73,3.236,2.34,2.308,0.7132,1.71,2.34,4.03,8.55,10.8,1.5545,1.9477,2356.49,2157.61,0.0844,0.3346,0.523,0.058,2.3405,0.9994,0.288,0.0769,27.2,30.5,29,942598,863045
MN_26_19_MM,lluvias_2023,True,MN_26_19_MM_v2.las,2.13,0.768,0.72,0.21,0.2729,0.61,0.72,0.86,1.23,1.42,1.3106,1.7845,582.73,218.68,0.6247,0.3753,0.0,0.0,0.9738,0.5431,0.9518,0.3333,44.65,14.6,60,233091,87471
MN_03_MT_JV,lluvias_2023,True,MN_03_MT_JV.las,7.09,1.673,1.29,1.182,0.7068,0.86,1.29,1.92,4.27,5.66,1.6766,2.4154,95.98,75.13,0.2172,0.6014,0.1813,0.0,1.2656,0.8992,0.483,0.125,33.2,16.47,102,38392,30052
MN_24_17_MM,lluvias_2023,True,MN_24_17_MM.las,6.11,2.47,2.4,1.02,0.4128,1.7,2.4,3.2,4.26,4.74,0.2373,-0.579,1954.65,1714.3,0.123,0.3088,0.5683,0.0,1.1191,1.0,0.2973,0.1429,27.67,24.98,30,781862,685719
MN_05_AR_JV,lluvias_2023,True,MN_05_AR_JV.las,7.2,4.629,4.81,0.962,0.2078,4.2,4.81,5.26,5.86,6.36,-1.1545,1.9863,1667.8,1638.48,0.0176,0.0215,0.9609,0.0,1.0907,0.9817,0.3978,0.125,44.64,22.64,25,667119,655391
MN_25_18_MM,lluvias_2023,True,MN_25_18_MM_v2.las,38.4,1.417,1.38,0.689,0.486,0.83,1.38,1.87,2.61,2.93,7.4247,377.7072,888.34,326.62,0.6323,0.2976,0.0701,0.0,1.3679,0.4927,0.7562,0.0256,59.38,29.11,101,355336,130650
MN_08_SM_JV,lluvias_2023,True,MN_08_SM_JV.las,5.31,1.863,1.87,0.722,0.3875,1.3,1.87,2.41,3.03,3.46,0.1228,-0.609,316.57,262.12,0.172,0.4649,0.3631,0.0,1.1671,0.9126,0.3472,0.1667,30.04,17.32,98,126628,104850
MN_02_PE_JV,lluvias_2023,True,MN_02_PE_JV.las,4.11,1.348,1.23,0.615,0.4564,0.85,1.23,1.74,2.54,3.06,0.82,0.2011,361.27,225.98,0.3745,0.5313,0.0942,0.0,1.0732,0.7754,0.5949,0.2,30.64,16.0,100,144507,90393
